,SALE PRICE
0,620000
1,505000
2,540000
3,540000
4,295000
5,320000
6,291106
7,131000
8,240000
9,38236
10,307612
11,220000
12,40000
13,193000
14,180000
15,120000
16,117523
17,117523
18,362204
19,233000
20,245000
21,70000
22,814600
23,783034
24,657789
25,656771
26,600767
27,599749
28,657789
29,682227
30,601785
31,672045
32,610950
33,672045
34,650661
35,651680
36,661862
37,641497
38,681209
39,570245
40,596694
41,570220
42,570220
43,641497
44,661862
45,672045
46,773870
47,728048
48,701574
49,675000
50,617059
51,627242
52,621132
53,590585
54,595676
55,712775
56,711756
57,718884
58,319800
59,120000
60,364026
61,364026
62,180000
63,305000
64,299179
65,340000
66,125000
67,323000
68,305000
69,315000
70,359000
71,369000
72,120000
73,470505
74,130000
75,71312
76,514000
77,628000
78,866530
79,806514
80,904265
81,300000
82,242000
83,639903
84,589689
85,294156
86,410620
87,318654
88,45000
89,364026
90,380250
91,1386716
92,489000
93,545000
94,4475000
95,300000
96,925000
97,590000
98,685000
99,725000
100,925000
101,655000
102,590000
103,600000
104,680000
105,515000
106,350000
107,999980
108,450000
109,583000
110,490000
111,571000
112,68500
113,540000
114,520000
115,557000
116,350000
117,590000
118,200000
119,600000
120,540000
121,680000
122,657000
123,330000
124,800000
125,420000
126,650000
127,558000
128,555000
129,717500
130,675000
131,690000
132,575000
133,760000
134,643000
135,830000
136,675000
137,690000
138,560000
139,595000
140,570000
141,480000
142,587000
143,890000
144,620000
145,725000
146,725000
147,525000
148,850000
149,600000
150,910000
151,425000
152,435000
153,361443
154,525000
155,468000
156,445000
157,441500
158,675000
159,817000
160,730000
161,875000
162,450000
163,322000
164,785000
165,440000
166,855000
167,879000
168,950000
169,600000
170,260000
171,860000
172,860000
173,605000
174,822500
175,650000
176,735000
177,750000
178,715000
179,895000
180,530000
181,540000
182,1300000
183,650000
184,550000
185,600000
186,1350000
187,300000
188,210000
189,124166
190,675000
191,410000
192,670000
193,878000
194,1200000
195,940000
196,800000
197,1160000
198,810000
199,900000
200,787000
201,875000
202,600000
203,775000
204,600000
205,891000
206,630000
207,735000
208,830000
209,680000
210,720000
211,700000
212,670000
213,763500
214,460000
215,825000
216,625000
217,765000
218,241150
219,1165000
220,765000
221,830000
222,600000
223,749000
224,745000
225,840000
226,672500
227,840000
228,540000
229,1500000
230,807000
231,925000
232,400000
233,925000
234,640000
235,840000
236,785000
237,725000
238,1725000
